"school_id","school_name","district_id","block_id"
575,"Angul Model School","OD-01",1
1,"Angul Govt. High School","OD-01",1
2,"Banarpal Public School","OD-01",2
577,"Banarpal Higher Secondary School","OD-01",2
579,"Chhendipada Residential School","OD-01",3
3,"Chhendiapada Model School","OD-01",3
578,"Chhendipada Model School","OD-01",3
581,"Athamallik Public School","OD-01",4
4,"Athamallik Secondary School","OD-01",4
582,"Kishorenagar Govt. High School","OD-01",5
583,"Kishorenagar Model School","OD-01",5
5,"Kishorenagar Higher Secondary School","OD-01",5
585,"Talcher Public School","OD-01",6
6,"Talcher High School","OD-01",6
7,"Kaniha Residential School","OD-01",7
587,"Kaniha Higher Secondary School","OD-01",7
8,"Pallahara Public School","OD-01",8
589,"Pallahara Govt. High School","OD-01",8
434,"Chhendipada Govt. High School","OD-01",9
9,"Balasore Govt. High School","OD-02",9
591,"Balasore Model School","OD-02",9
593,"Basta Public School","OD-02",10
10,"Basta Secondary School","OD-02",10
435,"Jarapada Public School","OD-01",10
595,"Remuna Higher Secondary School","OD-02",11
452,"Bantala Govt. High School","OD-01",11
11,"Remuna Public School","OD-02",11
594,"Remuna Model School","OD-02",11
596,"Jaleswar Govt. High School","OD-02",12
12,"Jaleswar Model School","OD-02",12
453,"Purunakote Secondary School","OD-01",12
597,"Jaleswar Residential School","OD-02",12
599,"Bhograi Model School","OD-02",13
454,"Khamar Model School","OD-01",13
13,"Bhograi High School","OD-02",13
455,"Handapa Public School","OD-01",14
14,"Baliapal Secondary School","OD-02",14
601,"Baliapal Public School","OD-02",14
603,"Nilagiri Higher Secondary School","OD-02",15
15,"Nilagiri Govt. School","OD-02",15
506,"Jarapada Govt. High School","OD-01",15
16,"Oupada Public School","OD-02",16
605,"Oupada Residential School","OD-02",16
507,"Purunakote Model School","OD-01",16
436,"Soro Govt. High School","OD-02",17
508,"Bantala Public School","OD-01",17
509,"Handapa Secondary School","OD-01",18
437,"Simulia Model School","OD-02",18
456,"Khaira Govt. High School","OD-02",19
457,"Singla Secondary School","OD-02",20
607,"Bargarh Model School","OD-03",21
17,"Bargarh High School","OD-03",21
510,"Soro Higher Secondary School","OD-02",21
18,"Barpali Public School","OD-03",22
511,"Simulia Govt. High School","OD-02",22
609,"Barpali Govt. High School","OD-03",22
19,"Bheden Model School","OD-03",23
611,"Bheden Secondary School","OD-03",23
512,"Khaira Model School","OD-02",23
613,"Bhatli Public School","OD-03",24
20,"Bhatli Higher Secondary School","OD-03",24
513,"Baliapal Public School","OD-02",24
615,"Ambabhona Model School","OD-03",25
21,"Ambabhona Govt. School","OD-03",25
617,"Atabira Residential School","OD-03",26
